name,population,area,longitude,latitude
Aleksandrów Kujawski,12058.0,723.0,18.7,52.88333333333333
Aleksandrów Łódzki,21754.0,1382.0,19.316666666666666,51.81666666666667
Alwernia,3336.0,888.0,19.533333333333335,50.06666666666667
Andrychów,19837.0,1033.0,19.333333333333332,49.86666666666667
Annopol,2436.0,773.0,21.866666666666667,50.88333333333333
Augustów,29946.0,8090.0,22.966666666666665,53.85
Babimost,3901.0,365.0,15.833333333333334,52.15
Baborów,2861.0,1186.0,17.983333333333334,50.15
Baranów Sandomierski,1430.0,915.0,21.55,50.5
Barcin,7313.0,370.0,17.95,52.86666666666667
Barczewo,7509.0,458.0,20.683333333333334,53.833333333333336
Bardo,2497.0,471.0,16.75,50.516666666666666
Barlinek,13611.0,1755.0,15.216666666666667,52.983333333333334
Bartoszyce,22984.0,1179.0,20.8,54.25
Barwice,3677.0,752.0,16.35,53.733333333333334
Bełchatów,56419.0,3464.0,19.366666666666667,51.36666666666667
Bełżyce,6399.0,2346.0,22.283333333333335,51.166666666666664
Będzin,56008.0,3737.0,19.133333333333333,50.31666666666667
Biała Piska,4047.0,324.0,22.066666666666666,53.61666666666667
Biała Podlaska,56942.0,4940.0,23.116666666666667,52.03333333333333
Biała Rawska,3132.0,953.0,20.483333333333334,51.8
Białaczów,1068.0,2192.0,20.3,51.3
Białogard,23950.0,2573.0,15.983333333333333,54.0
Biały Bór,2208.0,1282.0,16.833333333333332,53.733333333333334
Białystok,296958.0,10213.0,23.166666666666668,53.13333333333333
Biecz,4549.0,1771.0,21.266666666666666,49.733333333333334
Bielawa,29523.0,3621.0,16.616666666666667,50.7
Bielsk Podlaski,25044.0,2701.0,23.2,52.766666666666666
Bielsko-Biała,169756.0,12451.0,19.066666666666666,49.833333333333336
Bierutów,4809.0,836.0,17.55,51.11666666666667
Bieżuń,1829.0,1207.0,19.866666666666667,52.95
Biłgoraj,26114.0,2110.0,22.716666666666665,50.53333333333333
Bircza,987.0,464.0,22.466666666666665,49.7
Bisztynek,2328.0,216.0,20.9,54.083333333333336
Blachownia,9457.0,3666.0,18.966666666666665,50.78333333333333
Błaszki,2047.0,162.0,18.433333333333334,51.65
Błażowa,2148.0,423.0,22.1,49.9
Błonie,12134.0,909.0,20.6,52.2
Bobolice,3957.0,477.0,16.583333333333332,53.95
Bobowa,3137.0,718.0,20.95,49.71666666666667
Bochnia,29554.0,2987.0,20.416666666666668,49.96666666666667
Bodzanów,1135.0,482.0,20.033333333333335,52.516666666666666
Bodzentyn,2190.0,865.0,20.95,50.95
Bogatynia,17037.0,5988.0,14.95,50.9
Bogoria,1093.0,554.0,21.25,50.65
Boguchwała,6140.0,911.0,21.95,49.983333333333334
Boguszów-Gorce,15154.0,2702.0,16.2,50.766666666666666
Bojanowo,2915.0,234.0,16.75,51.7
Bolimów,899.0,378.0,20.166666666666668,52.083333333333336
Bolków,4913.0,768.0,16.1,50.916666666666664
Borek Wielkopolski,2500.0,629.0,17.25,51.916666666666664
Braniewo,16974.0,1241.0,19.833333333333332,54.38333333333333
Brańsk,3694.0,3243.0,22.833333333333332,52.75
Brody,889.0,307.0,25.166666666666668,50.1
Brok,1904.0,2806.0,21.85,52.7
Brusy,5221.0,520.0,17.733333333333334,53.88333333333333
Brwinów,13710.0,1468.0,20.716666666666665,52.13333333333333
Brzeg,35226.0,1461.0,17.483333333333334,50.86666666666667
Brzeg Dolny,12480.0,1720.0,16.716666666666665,51.266666666666666
Brzesko,16764.0,1192.0,20.616666666666667,49.96666666666667
Brzeszcze,11092.0,1904.0,19.15,49.983333333333334
Brześć Kujawski,4563.0,704.0,18.883333333333333,52.61666666666667
Brzostek,2749.0,876.0,21.416666666666668,49.88333333333333
Brzozów,7425.0,1146.0,22.033333333333335,49.7
Budzyń,4475.0,4059.0,16.983333333333334,52.9
Buk,5948.0,296.0,16.516666666666666,52.36666666666667
Bukowno,9976.0,6459.0,19.433333333333334,50.266666666666666
Bychawa,4814.0,669.0,22.55,51.016666666666666
Byczyna,3532.0,579.0,18.216666666666665,51.11666666666667
Bydgoszcz,344091.0,17598.0,18.0,53.11666666666667
Bystrzyca Kłodzka,9878.0,1074.0,16.633333333333333,50.3
Bytom,163255.0,6944.0,18.9,50.38333333333333
Bytom Odrzański,4244.0,230.0,15.833333333333334,51.733333333333334
Bytów,16833.0,872.0,17.5,54.166666666666664
Cedynia,1497.0,167.0,14.2,52.88333333333333
Cegłów,2279.0,767.0,21.733333333333334,52.15
Chełm,61135.0,3528.0,23.483333333333334,51.13333333333333
Chełmek,8912.0,827.0,19.233333333333334,50.1
Chełmno,19205.0,1356.0,18.433333333333334,53.35
Chełmża,14362.0,784.0,18.6,53.2
Chęciny,4394.0,1413.0,20.45,50.8
Chmielnik,3596.0,780.0,20.75,50.61666666666667
Chocianów,7773.0,900.0,15.9,51.416666666666664
Chociwel,3123.0,367.0,15.316666666666666,53.45
Chocz,1769.0,688.0,17.883333333333333,51.96666666666667
Chodecz,2279.0,190.0,19.033333333333335,52.4
Chodzież,18229.0,1277.0,16.916666666666668,52.983333333333334
Chojna,7367.0,1258.0,14.416666666666666,52.96666666666667
Chojnice,39647.0,2104.0,17.55,53.7
Chojnów,13236.0,532.0,15.933333333333334,51.28333333333333
Choroszcz,5926.0,1679.0,22.983333333333334,53.15
Chorzele,3100.0,1751.0,20.883333333333333,53.266666666666666
Chorzów,106846.0,3324.0,18.95,50.3
Choszczno,14998.0,958.0,15.4,53.166666666666664
Ciechanowiec,4587.0,1953.0,22.5,52.68333333333333
Ciechanów,43883.0,3278.0,20.633333333333333,52.86666666666667
Ciechocinek,10534.0,1526.0,18.783333333333335,52.88333333333333
Ciepielów,738.0,686.0,21.583333333333332,51.25
Cieszanów,1922.0,1506.0,23.133333333333333,50.233333333333334
Cieszyn,33981.0,2861.0,18.633333333333333,49.75
Ciężkowice,2447.0,999.0,20.966666666666665,49.8
Cybinka,2768.0,529.0,14.8,52.2
Czaplinek,7094.0,1362.0,16.233333333333334,53.55
Czarna Białostocka,9198.0,1428.0,23.3,53.3
Czarne,5830.0,4643.0,16.933333333333334,53.7
Czarnków,10464.0,1017.0,16.566666666666666,52.9
Czarny Dunajec,3772.0,3797.0,19.866666666666667,49.45
Czchów,2323.0,1409.0,20.683333333333334,49.833333333333336
Czechowice-Dziedzice,35839.0,3291.0,19.016666666666666,49.833333333333336
Czemierniki,1307.0,465.0,22.633333333333333,51.68333333333333
Czempiń,4932.0,332.0,16.75,52.13333333333333
Czerniejewo,2671.0,1019.0,17.483333333333334,52.43333333333333
Czersk,9900.0,973.0,17.966666666666665,53.8
Czerwieńsk,3947.0,936.0,15.433333333333334,52.016666666666666
Czerwińsk nad Wisłą,1010.0,548.0,20.3,52.38333333333333
Częstochowa,217530.0,15971.0,19.116666666666667,50.8
Człopa,2308.0,627.0,16.1,53.083333333333336
Człuchów,13479.0,1278.0,17.35,53.68333333333333
Ćmielów,2984.0,1334.0,21.516666666666666,50.9
